Timestamp,MemFree,Slab_Unreclaimable,Slab_Reclaimable,Slab_Active_Objs,Slab_Total_Objs,Frag_Index_Order_0,Frag_Index_Order_10,Context_Switches,Benchmark_Latency
2026-05-05T23:07:02.454529,298512,127228,93228,0,0,0.7874,0.7874,809338986,0.08225679397583008
2026-05-05T23:07:14.531635,336584,127044,93212,0,0,0.7841,0.7841,809363494,0.03966331481933594
2026-05-05T23:07:26.593103,367076,127080,93212,0,0,0.8009,0.8009,809382386,0.03893017768859863
2026-05-05T23:07:56.523913,647224,127080,93212,0,0,0.8302,0.8302,809431242,0.03976249694824219
2026-05-05T23:08:08.587392,733972,127076,93212,0,0,0.8497,0.8497,809450531,0.04372286796569824
2026-05-05T23:08:20.664797,776000,127080,93212,0,0,0.8572,0.8572,809468641,0.03842329978942871
2026-05-05T23:08:52.135860,886560,127124,93260,0,0,0.8686,0.8686,809521068,0.04271245002746582
2026-05-05T23:09:04.194695,934476,127112,93260,0,0,0.8747,0.8747,809540312,0.037615060806274414
2026-05-05T23:09:16.252719,981012,127068,93012,0,0,0.8801,0.8801,809567280,0.03782296180725098
2026-05-05T23:31:18.068940,749640,126972,92980,0,0,0.827,0.827,810612862,0.03790998458862305
2026-05-05T23:31:30.136500,849836,126968,92980,0,0,0.8408,0.8408,810632844,0.039611101150512695
2026-05-05T23:31:42.208228,865924,126996,92964,0,0,0.8433,0.8433,810652281,0.039662837982177734
2026-05-05T23:39:03.994490,560932,128876,92048,0,0,0.759,0.759,811494854,0.038080453872680664
2026-05-05T23:39:06.059563,453104,128876,92048,0,0,0.7017,0.7017,811498066,0.03845572471618652
2026-05-05T23:39:08.123058,382856,128876,92048,0,0,0.7913,0.7913,811501244,0.03812551498413086
2026-05-05T23:39:10.187151,322044,128876,92048,0,0,0.8116,0.8116,811504425,0.04048418998718262
2026-05-05T23:39:12.246509,273912,128876,92048,0,0,0.8149,0.8149,811507512,0.03697657585144043
2026-05-05T23:39:14.304427,230368,128876,92048,0,0,0.8144,0.8144,811510397,0.037648677825927734
2026-05-05T23:39:16.368374,165444,128876,92048,0,0,0.8468,0.8468,811513635,0.03786444664001465
2026-05-05T23:39:18.432482,114532,128876,92048,0,0,0.8166,0.8166,811516693,0.0433957576751709
2026-05-05T23:39:20.527206,103456,128880,92048,0,0,0.7898,0.7898,811519769,0.04210400581359863
2026-05-05T23:39:22.625427,100048,128880,92048,0,0,0.8384,0.8384,811522875,0.06331944465637207
2026-05-05T23:39:24.740029,89188,128876,92048,0,0,0.8916,0.8916,811526141,0.06709432601928711
2026-05-05T23:39:26.810644,98660,128876,92048,0,0,0.8239,0.8239,811530045,0.04105234146118164
2026-05-05T23:39:28.911823,91136,128876,92048,0,0,0.8061,0.8061,811533275,0.054958343505859375
2026-05-05T23:39:30.979084,120680,129004,92048,0,0,0.8497,0.8497,811537016,0.03912234306335449
2026-05-05T23:39:33.065643,90328,128956,92048,0,0,0.8005,0.8005,811545542,0.04154324531555176
2026-05-05T23:40:18.618180,689144,129340,91816,0,0,0.8269,0.8269,811726338,0.08803987503051758
2026-05-05T23:40:20.738279,636532,129312,91816,0,0,0.8126,0.8126,811729744,0.08847618103027344
2026-05-05T23:40:22.838681,587588,129312,91816,0,0,0.797,0.797,811732901,0.07746458053588867
2026-05-05T23:40:24.941026,520476,129308,91816,0,0,0.7707,0.7707,811736038,0.07911086082458496
2026-05-05T23:40:27.040301,463460,129300,91816,0,0,0.7425,0.7425,811739163,0.07640647888183594
2026-05-05T23:40:29.146838,409236,129300,91816,0,0,0.7084,0.7084,811742478,0.08231806755065918
2026-05-05T23:40:31.244293,358308,129332,91816,0,0,0.667,0.667,811745678,0.07711362838745117
2026-05-05T23:40:33.360348,300312,129324,91816,0,0,0.6027,0.6027,811748635,0.09305882453918457
2026-05-05T23:40:35.463355,258096,129324,91816,0,0,0.629,0.629,811751751,0.07906889915466309
2026-05-05T23:40:37.562728,197428,129320,91816,0,0,0.6135,0.6135,811754888,0.0767061710357666
2026-05-05T23:40:39.660781,152448,129316,91816,0,0,0.6471,0.6471,811758041,0.07656288146972656
2026-05-05T23:40:41.760939,118592,129284,91816,0,0,0.8942,0.8942,811761429,0.07803702354431152
2026-05-05T23:40:43.890990,95008,129276,91816,0,0,0.843,0.843,811764471,0.09785318374633789
2026-05-05T23:40:46.040253,95352,129272,91816,0,0,0.8459,0.8459,811767878,0.11850571632385254
2026-05-05T23:40:48.206542,89328,129272,91816,0,0,0.8712,0.8712,811771037,0.10270977020263672
2026-05-05T23:55:54.969511,886184,126956,90780,926759,1162556,0.8512,0.8512,812378792,0.0987999439239502
2026-05-05T23:55:57.120233,825856,126956,90780,926928,1162556,0.8403,0.8403,812380569,0.10019040107727051
2026-05-05T23:55:59.276319,758908,126956,90780,927110,1162556,0.8263,0.8263,812382679,0.10640978813171387
2026-05-05T23:56:01.440353,700800,126956,90780,926673,1162556,0.8119,0.8119,812384647,0.10843753814697266
