Timestamp,MemFree,Slab_Unreclaimable,Slab_Reclaimable,Slab_Active_Objs,Slab_Total_Objs,Frag_Index_Order_0,Frag_Index_Order_10,Context_Switches,Benchmark_Latency
2026-05-08T01:47:02.512451,576932,125784,58692,928047,1359167,0.8402,0.8402,1149625555,0.32864809036254883
2026-05-08T01:47:08.042692,527260,126296,62644,950524,1364763,0.8533,0.8533,1149667441,0.5099759101867676
2026-05-08T01:47:13.139007,545900,126264,62644,948626,1364760,0.8537,0.8537,1149700159,0.09096336364746094
2026-05-08T01:47:18.806822,561056,126264,62644,951103,1364760,0.8558,0.8558,1149722441,0.6622748374938965
2026-05-08T01:47:24.110533,569160,126360,62644,952144,1364769,0.8579,0.8579,1149745728,0.27503275871276855
2026-05-08T01:47:29.655459,574956,126328,62644,954723,1364766,0.8602,0.8602,1149768673,0.5376870632171631
2026-05-08T01:47:34.788431,563096,126328,62644,954233,1364766,0.8572,0.8572,1149791117,0.12441849708557129
2026-05-08T01:47:40.435025,543572,126360,62644,954829,1364766,0.8521,0.8521,1149813570,0.6404531002044678
2026-05-08T01:47:45.921565,563892,126296,62644,954536,1364763,0.8574,0.8574,1149836817,0.4722626209259033
2026-05-08T01:47:51.344026,543124,126232,62644,955304,1364757,0.8529,0.8529,1149860351,0.3990905284881592
2026-05-08T01:47:56.659169,564468,126264,62644,954204,1364760,0.8585,0.8585,1149882294,0.29051852226257324
2026-05-08T01:48:02.172329,550120,126360,62644,955057,1364769,0.8548,0.8548,1149904652,0.5075199604034424
2026-05-08T01:48:07.299593,561020,126328,62644,954302,1364766,0.8576,0.8576,1149927439,0.12249875068664551
2026-05-08T01:48:12.920454,541400,126232,62644,954941,1364766,0.8524,0.8524,1149948834,0.6114089488983154
2026-05-08T01:48:18.003266,437848,126404,62644,887343,1363563,0.8492,0.8492,1149973444,0.0779116153717041
2026-05-08T01:48:23.635417,528464,126436,62644,887782,1363566,0.8663,0.8663,1149994430,0.6201114654541016
2026-05-08T01:48:28.801643,553976,126404,62644,887753,1363563,0.8697,0.8697,1150018772,0.16150259971618652
2026-05-08T01:48:34.429814,553756,126372,62644,887517,1363560,0.8696,0.8696,1150041925,0.6067378520965576
2026-05-08T01:48:39.544272,630428,126372,62644,887589,1363560,0.8733,0.8733,1150064816,0.10963225364685059
2026-05-08T01:48:44.972275,627056,126436,62644,889519,1363560,0.8726,0.8726,1150086100,0.40824389457702637
2026-05-08T01:48:50.061406,632136,126376,62644,888245,1363585,0.8736,0.8736,1150110292,0.08376812934875488
2026-05-08T01:48:55.794498,664672,126472,62644,891002,1363594,0.8798,0.8798,1150131056,0.7232112884521484
2026-05-08T01:49:01.191452,624404,126440,62644,890115,1363591,0.8721,0.8721,1150155322,0.38002967834472656
